OpenJDK 64-Bit Server VM (25.342-b07) for windows-amd64 JRE (1.8.0_342-b07), built on Jul 21 2022 18:16:14 by "Administrator" with MS VC++ 12.0 (VS2013)
Memory: 4k page, physical 33393912k(19527928k free), swap 35491064k(15378820k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=33554432 -XX:+ManagementServer -XX:MaxHeapSize=33554432 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
76.887: [GC (Allocation Failure) 76.887: [DefNew: 9110K->414K(9792K), 0.0012457 secs] 23675K->14979K(31680K), 0.0012832 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
76.922: [GC (Allocation Failure) 76.922: [DefNew: 9118K->418K(9792K), 0.0010630 secs] 23683K->14982K(31680K), 0.0010966 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
76.953: [GC (Allocation Failure) 76.953: [DefNew: 9122K->529K(9792K), 0.0012032 secs] 23686K->15093K(31680K), 0.0012364 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
76.980: [GC (Allocation Failure) 76.980: [DefNew: 9233K->532K(9792K), 0.0011839 secs] 23797K->15097K(31680K), 0.0012159 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.006: [GC (Allocation Failure) 77.006: [DefNew: 9236K->534K(9792K), 0.0011966 secs] 23801K->15099K(31680K), 0.0012320 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.031: [GC (Allocation Failure) 77.031: [DefNew: 9238K->545K(9792K), 0.0013255 secs] 23803K->15109K(31680K), 0.0013583 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.056: [GC (Allocation Failure) 77.056: [DefNew: 9249K->367K(9792K), 0.0014508 secs] 23813K->15222K(31680K), 0.0014836 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.077: [GC (Allocation Failure) 77.077: [DefNew: 9071K->349K(9792K), 0.0014424 secs] 23926K->15204K(31680K), 0.0014875 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.097: [GC (Allocation Failure) 77.097: [DefNew: 9053K->354K(9792K), 0.0011765 secs] 23908K->15208K(31680K), 0.0012095 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.116: [GC (Allocation Failure) 77.116: [DefNew: 9058K->355K(9792K), 0.0011630 secs] 23912K->15210K(31680K), 0.0011937 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.135: [GC (Allocation Failure) 77.135: [DefNew: 9059K->358K(9792K), 0.0011759 secs] 23914K->15213K(31680K), 0.0012063 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
77.153: [GC (Allocation Failure) 77.153: [DefNew: 9062K->464K(9792K), 0.0012494 secs] 23917K->15318K(31680K), 0.0012809 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.167: [GC (Allocation Failure) 77.167: [DefNew: 9168K->472K(9792K), 0.0014619 secs] 24022K->15326K(31680K), 0.0014970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.181: [GC (Allocation Failure) 77.181: [DefNew: 9176K->468K(9792K), 0.0012703 secs] 24030K->15322K(31680K), 0.0013033 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
77.195: [GC (Allocation Failure) 77.195: [DefNew: 9172K->359K(9792K), 0.0012812 secs] 24026K->15321K(31680K), 0.0013109 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.209: [GC (Allocation Failure) 77.209: [DefNew: 9063K->358K(9792K), 0.0012102 secs] 24025K->15323K(31680K), 0.0012405 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
